"name","rank","year","url","id"
"JIMMIE V. ADAMS","GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107883/general-jimmie-v-adams.aspx","107883"
"DONALD O. ALDRIDGE","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107864/lieutenant-general-donald-o-aldridge.aspx","107864"
"ROBERT M. ALEXANDER","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107867/lieutenant-general-robert-m-alexander.aspx","107867"
"ROBERT R. ALLARDICE","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104639/lieutenant-general-robert-r-allardice.aspx","104639"
"(DR.) EDGAR R. ANDERSON JR.","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107836/lieutenant-general-dr-edgar-r-anderson-jr.aspx","107836"
"MARCUS A. ANDERSON","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107842/lieutenant-general-marcus-a-anderson.aspx","107842"
"SALVATORE A. ""SAM"" ANGELELLA","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107932/lieutenant-general-salvatore-a-sam-angelella.aspx","107932"
"MALCOLM  B. ARMSTRONG","LIEUTENANT GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107784/lieutenant-general-malcolm-b-armstrong.aspx","107784"
"BRIAN  A. ARNOLD","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104857/lieutenant-general-brian-a-arnold.aspx","104857"
"JOSEPH  W. ASHY","GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107818/general-joseph-w-ashy.aspx","107818"
"DANA T. ATKINS","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104933/lieutenant-general-dana-t-atkins.aspx","104933"
